ID,tweet
1, Amid the growing rift between allies Chirag Pawan led and Nitish Kumar led chief JP Nadda said the upcoming assembly will be fought under the leadership of 
2, HAPPENING NOW After about five hours of announcements and breaks the final results of the Edo election are almost complete Follow live updates here xf0 x9f x93 xb7 Sodiq Adelakun Channels Television 
3, The collation committee is now on break Two local government results Orhionmwon and Ovia South West are yet to be announced 
4, The remaining results from the Edo election are still being ferried into the central collation centre xf0 x9f x93 xb7 Sodiq Adelakun 
5, HAPPENING NOW INEC Collation Committee is about to resume the announcement of results Party agents are also present at the meeting Follow live updates here 
6, HAPPENING NOW INEC Collation Committee is set to announce the official results of the election from all local governments Party agents are also present at the meeting Follow live updates here 
7, Godwin Obaseki secured 307 955 of the total votes 84 336 more votes than his closest rival Ize Iyamu who got 223 619 votes total of 14 political parties fielded candidates to jostle for the office of the governor in the state 
8, Update The Returning Officer for the Edo State governorship election Prof Akpofure Rim Ruke said the results of 13 out 18 local government areas would be moved to Form EC8D pending the arrival of the results from the remaining LGs 
9, There was brawl at Emokpae Model Primary School polling unit over the appointment of rival party executive as INEC ad hoc official 8 24am LIVE UPDATES gt gt gt 
10, PHOTOS PDP supporters celebrate as Obaseki emerges winner of Edo governorship election 
11, BREAKING INEC declares Obaseki winner of Edo governorship election 
12, Results Two more local governments to go Ovia South and Orhiomwon LGs Follow our Liveblog for more updates gt gt gt 
13, Results Uhunmwonde LGA APC 5 972 PDP 10 022 Owan East LGA APC 19 295 PDP 14 762 Owan West LG APC 11 193 PDP 11 485 Esan West LGA APC 7 189 PDP 17 434 Follow our Liveblog for more updates gt gt gt 
14, Results Ovia North East APC 9 907 PDP 16 987 Etsako West LGA APC 26 140 PDP 17 959 Oredo LGA APC 18 365 PDP 43 498 Follow our Liveblog for more updates gt gt gt 
15, LOCAL GOVERNMENT RESULTS Esan South East APC 9237 PDP 10565 Registered voters 73907 Accredited voters 20274 UROMI Esan North LGA results APC 6559 PDP 13 579 Total Valid vote 20369 Accredited voters 20825 
16, LOCAL GOVERNMENT RESULTS Etsako West LGA results APC 26 140 PDP 17 959 Registered voters 158 899 Accredited voters 48 846 Follow our Liveblog for more updates gt gt gt 
17, Results for Etsako West LGA ADP 184 APC 26 140 APGA 17 PDP 17 959 Total valid votes 44 539 Total rejected votes 2 828 Total votes cast 47 367 Follow our Liveblog for more updates gt gt gt 
18, Adams Oshiomhole voting at Polling Unit 001 Ward 10 Iyamho Etsako West LGA Follow our Liveblog for more updates gt gt gt 
19, Adams Oshiomhole on the queue at his polling unit 001 Ward 10 Iyamho Etsako West LGA Follow our Liveblog for more updates gt gt gt 
20, Violence shootings reported at Poll xc3 xadng Unit 11 Edo Lodge in Oke Ijebu Akure FOLLOW LIVE 
21, Akeredolu and his wife given undue priority as they jump queue to vote FOLLOW LIVE 
22, PHOTONEWS wife arrive polling unit to vote FOLLOW LIVE 
23, Heavy rain in Akure as voters observers journalists and INEC officials take cover at polling 9 Ward 4 FOLLOW LIVE 
24, Candidate of the PDP and his wife Eno Jegede waiting at their PU009 Ward 4 Sacred Heart Primary School to get accredited and cast their votes FOLLOW LIVE 
25, PHOTO Elderly given priority to vote at CAC primary school Owo LGA FOLLOW LIVE 
26, PHOTONEWS Vote Buying officials monitoring the Ondo governorship election FOLLOW LIVE 
27, PHOTONEWS Accreditation and Voting Have Started at Unit 2 Ward 11 of Akure South LGA FOLLOW LIVE 
28, Voting begins at unit 002 Igbotako Ward 02 Okitipupa LGA FOLLOW LIVE 
29, 8 45am xe2 x80 x94 officials just setting up at Rufus Giwa Polytechnic Owo LGA FOLLOW LIVE 
30, COVID 19 protocol not adhere to as electorates check their names on the voting register in polling unit 01 Igbotako Ward two Okitipupa LGA FOLLOW LIVE 
31, Some electorates already in celebratory mood while anticipating victory for their preferred candidates in the Ondo Saturday election FOLLOW LIVE 
32, PHOTONEWS Voters troop out at Ogbese Akure North LGA as they await commencement of the election FOLLOW LIVE 
33, 8am Voters checking their names in preparation for accreditation at Unit 3 Ward 3 of Akure South LGA FOLLOW LIVE 
34, INEC officials preparing to set up at Igbogin Isikan PU 10 FOLLOW LIVE 
35, At 7 50am officials have set up for the day xe2 x80 x99s exercise at PU 015 Ward 2 Okitipupa LGA FOLLOW LIVE 
36, Electorates checking their names on the voters register at PU 18 Ward 2 Okitipupa LGA FOLLOW LIVE 
37, Assistant presiding officer pasting the list while some voters are checking their names out in PU 17 Ward 2 Okitipupa LGA FOLLOW LIVE 
38, Distribution of election materials ongoing in Registration Area Center RAC inside Stella Marris college Okitipupa to different polling units FOLLOW LIVE 
39, The battle is between the incumbent of the All Progressives Congress of the Zenith Labour Party who is also the current deputy and of the Peoples Democratic Party FOLLOW LIVE 
40, Welcome to our live coverage of the 2020 Ondo State Governorship election We will be giving you every detail of what is happening in the Sunshine State as it goes down FOLLOW LIVE 
41, Ondo Poll Confusion As SDP Candidate Supports Runningmate Backs Sahara Reporters 
42, Ondo Poll Expresses Concerns Over Reliance On NURTW Members For Transportation Of Electoral Materials Sahara Reporters 
43, We have come to the end of the Live Blog for the Edo governorship election See you in Ondo next month 
44, Final Result Of The 10th Local Government Area Uhunmwonde Announced PDP 10 022 APC 5 972 FOLLOW LIVE 
45, BREAKING Results From Seven LGAs Announced Eleven Being Expected Obaseki Has Five Ize Iyamu Two FOLLOW LIVE 
46, RESULT OF POLL Polling Unit 005 Makeke By Agbala House Ward 05 Akoko Edo LGA ADC 01 ADP 01 APC 45 NNPP 01 PDP 75 FOLLOW LIVE 
47, Result Of Poll From Oshiomhole Unit Polling Unit 1 Ward 10 Uzairue Northeast Estako West LGA APC 1201 PDP 0 nil ADP 1 Void vote 9 Registered votes 1844 Unused Paper 633 FOLLOW LIVE 
48, RESULT OF POLL Polling Unit 003 Ward 9 Egor Local Government Area ADC 1 ADP 2 APC 59 PDP 125 FOLLOW LIVE 
49, RESULT OF POLL Polling Unit 6 Ward 1 Agenebode Etsako East Reg Voters 1469 Vote Cast 456 VALID 448 APC 284 PDP 150 FOLLOW LIVE 
50, RESULT OF POLL Polling Unit 002 Ward 07 Esan North East LGA APC 61 NRM 1 PDP 98 SDP 1 FOLLOW LIVE 
51, Result of Poll From Raymond Dokpesi Unit Polling Unit 8 Ward 1 Agenebode Etsako East APC 163 SDP 1 ADC 1 PDP 214 Accredited 1114 Vote Cast 395 Void 16 FOLLOW LIVE 
52, RESULT OF POLL Polling Unit 007 Ward 05 Esan North East LGA ADC 1 ADP 1 APC 95 APGA 1 PDP 64 FOLLOW LIVE 
53, RESULT OF POLL Polling Unit 003 Ward 04 Esan North East LGA APC 40 PDP 174 ADC 3 SDP 1 FOLLOW LIVE 
54, RESULT Owan West Uzebba Community Polling Unit 11 Ward 10 APC 180 PDP 81 ADP 2 NRM 1 FOLLOW LIVE 
55, RESULT OF POLL Polling Unit 005 Ward 04 Esan North East LGA APC 29 NNPP 1 PDP 152 FOLLOW LIVE 
56, RESULT OF POLL Polling Unit 006 Ward 04 Esan North East LGA ADC 1 ADP 1 APC 42 PDP 109 YPP 1 FOLLOW LIVE 
57, Voting At Egor Primary School Ward 4 In Egor LGA Both PDP and Apc involved in buying of votes PDP paid each voter N1000 while Apc N3000 Many PDP members lamented their payment was lower than Apc FOLLOW LIVE 
58, PHOTOS voter Taiwo Michael Eno beaten by thugs for voting for in Ward 6 Ikpoba Okha LGA FOLLOW LIVE 
59, Voting Stopped At Egor LGA Due To Non functional Card Readers Sahara Reporters 
60, VIDEO Agents Share Face Masks To Woo Voters In Polling Unit 2 Ward 7 Egor Local Government Area WATCH FULL VIDEO 
61, Follow SaharaReporters Live Coverage Of The 2020 Edo Governorship Election FOLLOW LIVE 
62, BREAKING xe2 x80 x99m Disappointed In INEC xe2 x80 x93 GovernorObaseki Sahara Reporters 
63, BREAKING Thugs Chase Party Agents Of Other Political Parties From Polling Unit The governor who is on the queue watches on as his thugs carry out the acts FOLLOW LIVE 
64, BREAKING Violence erupts at Obaseki xe2 x80 x99s polling unit FOLLOW LIVE 
65, INFOGRAPHICS delay was recorded on the part of INEC to commence the election FOLLOW LIVE 
