ID,tweet_text,tweet text,0
1,"b'The youth wing of the apex Igbo socio-cultural body,Ohanaeze Ndigbo, has said there will be no Nigeria again if the APC or PDP fails to field an Igbo per... READ MORE: https://t.co/HK6Y8vgvql  #apc #pdp https://t.co/SiQXRKVCBn'", The youth wing of the apex Igbo socio cultural body Ohanaeze Ndigbo has said there will be no Nigeria again if the APC or PDP fails to field an Igbo per READ MORE ,1
2,"b'The Peoples Democratic Party, PDP,  Delta State Chapter has labelled the All Progressives Congress, APC, in the State, as a party of rude, disrespectful, illiterate drifters.  #APC #PDP https://t.co/5CtHH0fcpk'", The Peoples Democratic Party PDP Delta State Chapter has labelled the All Progressives Congress APC in the State as party of rude disrespectful illiterate drifters ,1
3,"b'The Leader of the APC in  Abia State, a former two-time Governor, and Senate Chief Whip, Orji Uzor Kalu was,  on Saturday, March 27, 2021, humiliated at the Bye-election into the Aba South/Aba North Federal Constituency.  #APC #OrjiUzorKalu #PDP https://t.co/DiPXXjQB35'", The Leader of the APC in Abia State former two time Governor and Senate Chief Whip Orji Uzor Kalu was on Saturday March humiliated at the Bye election into the Aba South Aba North Federal Constituency ,0
4,b'The difference between most critics of Buhari who are also called #PDP sympathisers and #APC supporters  is that they also call out PDP politicians when they mess up unlike the APC supporters https://t.co/XRj27DdUed', The difference between most critics of Buhari who are also called sympathisers and supporters is that they also call out PDP politicians when they mess up unlike the APC supporters ,1
5,b'Anambra 2021: Parties Shopping For Candidates: https://t.co/k72uRLdzoU  #Anambra2021 #APC #APGA #ArinzeEkelem #PDP #SDP #Politics #NigeriaNews https://t.co/k72uRLdzoU', Anambra Parties Shopping For Candidates ,0
6,"b'2023: APC, PDP Leaders In Secret Deal To Keep Power In North \xe2\x80\x94 Olusegun Bamgbose: https://t.co/VPJScBB4PP  #APC #NNPP #OlusegunBamgbose #PDP #Politics #NigeriaNews https://t.co/VPJScBB4PP'", APC PDP Leaders In Secret Deal To Keep Power In North xe Olusegun Bamgbose ,1
7,b'We can not have a President who just sits and blame everybody for the woes of Nigeria. - Northern Elders Forum. https://t.co/LgkwRAqtQe #EnoughisEnougth #Arewa #PresidentialAddress #Tinubu #APC #PDP #PoliticsLive #politicians #Nigeria #Buhari #Abuja #Security #economy', We can not have President who just sits and blame everybody for the woes of Nigeria Northern Elders Forum ,1
8,"b'Olusegun Bamgbose, a chieftain of (NNPP), has claimed that key leaders of the two leading political parties, (PDP), and (APC), are in top secret deal to make it difficult for any Southerner to emerge as presidential candidate under their platforms come 2023.  #Nigeria #APC #PDP https://t.co/vKBBEUYKgc'", Olusegun Bamgbose chieftain of NNPP has claimed that key leaders of the two leading political parties PDP and APC are in top secret deal to make it difficult for any Southerner to emerge as presidential candidate under their platforms come ,1
9,"b'A High Court in Ikot Ekpene, Akwa Ibom State yesterday, sentenced a professor of the University of #Calabar, Peter Ogban, to three years in prison for announcing false #election result during the 2019 general election.  #Nigeria #Buhari #HighCourt #PDP #APC #PeterOgban https://t.co/BLo9h6wNCH'", High Court in Ikot Ekpene Akwa Ibom State yesterday sentenced professor of the University of Peter Ogban to three years in prison for announcing false result during the general election ,0
10,b'APC disclosed its vision to rule Nigeria for 30 years.  #Nigeria #Buhari #Muhammadu_Buhari #APC #PDP #PeoplesDemocraticParty #EndSARS #LekkiTollGateProtest  https://t.co/tGZJyMGKhY https://t.co/ccr70bc4Wn', APC disclosed its vision to rule Nigeria for years ,0
11,b'Mention names of lousy politicians and their political parties: #EndSARS #EndBadGoveranceInNigeria #PDP #APC #Nigerians #2021', Mention names of lousy politicians and their political parties ,0
12,"b""@OfficialAPCNg  and @OfficialPDPNig  are the same. It's just that #APC is the wicked version of #PDP. Their only ideology is to win elections and steal money not governance. #Nigeria is in trouble. #RestuctureNigeriaNow""", and are the same it is just that is the wicked version of Their only ideology is to win elections and steal money not governance is in trouble ,1
13,"b""@SplashFM1055  #APC32yrs Although, Acting Chairman's speech is aspiration with conditions but taken literally as expected.  If options are still between #PDP &amp; #APC, most likely APC will continue because beneficiaries of their projects/welfare programs will continue the support.""", Although Acting Chairman speech is aspiration with conditions but taken literally as expected If options are still between amp most likely APC will continue because beneficiaries of their projects welfare programs will continue the support ,0
14,b'@SaharaReporters @MBuhari That allyness was a destruction to Nigeria. The same Tinubu introduced forceful imposition in #APC during the #Osun 2018 govship election when he imposed his stooge in the state after #PDP floored them in the election. Tinubu was instrumental to every wrong doings in #APC.', That allyness was destruction to Nigeria The same Tinubu introduced forceful imposition in during the govship election when he imposed his stooge in the state after floored them in the election Tinubu was instrumental to every wrong doings in ,1
