ID,tweet,tweet,0
1, Amid the growing rift between allies Chirag Pawan led and Nitish Kumar led chief JP Nadda said the upcoming assembly will be fought under the leadership of , Amid the growing rift between allies Chirag Pawan led and Nitish Kumar led chief JP Nadda said the upcoming assembly will be fought under the leadership of ,0
2, HAPPENING NOW After about five hours of announcements and breaks the final results of the Edo election are almost complete Follow live updates here xf0 x9f x93 xb7 Sodiq Adelakun Channels Television , HAPPENING NOW After about five hours of announcements and breaks the final results of the Edo election are almost complete Follow live updates here xf xb Sodiq Adelakun Channels Television ,0
3, The collation committee is now on break Two local government results Orhionmwon and Ovia South West are yet to be announced , The collation committee is now on break Two local government results Orhionmwon and Ovia South West are yet to be announced ,0
4, The remaining results from the Edo election are still being ferried into the central collation centre xf0 x9f x93 xb7 Sodiq Adelakun , The remaining results from the Edo election are still being ferried into the central collation centre xf xb Sodiq Adelakun ,0
5, HAPPENING NOW INEC Collation Committee is about to resume the announcement of results Party agents are also present at the meeting Follow live updates here , HAPPENING NOW INEC Collation Committee is about to resume the announcement of results Party agents are also present at the meeting Follow live updates here ,0
6, HAPPENING NOW INEC Collation Committee is set to announce the official results of the election from all local governments Party agents are also present at the meeting Follow live updates here , HAPPENING NOW INEC Collation Committee is set to announce the official results of the election from all local governments Party agents are also present at the meeting Follow live updates here ,0
7, Godwin Obaseki secured 307 955 of the total votes 84 336 more votes than his closest rival Ize Iyamu who got 223 619 votes total of 14 political parties fielded candidates to jostle for the office of the governor in the state , Godwin Obaseki secured of the total votes more votes than his closest rival Ize Iyamu who got votes total of political parties fielded candidates to jostle for the office of the governor in the state ,0
8, Update The Returning Officer for the Edo State governorship election Prof Akpofure Rim Ruke said the results of 13 out 18 local government areas would be moved to Form EC8D pending the arrival of the results from the remaining LGs , Update The Returning Officer for the Edo State governorship election Prof Akpofure Rim Ruke said the results of out local government areas would be moved to Form EC pending the arrival of the results from the remaining LGs ,0
9, There was brawl at Emokpae Model Primary School polling unit over the appointment of rival party executive as INEC ad hoc official 8 24am LIVE UPDATES gt gt gt , There was brawl at Emokpae Model Primary School polling unit over the appointment of rival party executive as INEC ad hoc official am LIVE UPDATES gt gt gt ,0
10, PHOTOS PDP supporters celebrate as Obaseki emerges winner of Edo governorship election , PHOTOS PDP supporters celebrate as Obaseki emerges winner of Edo governorship election ,0
11, BREAKING INEC declares Obaseki winner of Edo governorship election , BREAKING INEC declares Obaseki winner of Edo governorship election ,0
12, Results Two more local governments to go Ovia South and Orhiomwon LGs Follow our Liveblog for more updates gt gt gt , Results Two more local governments to go Ovia South and Orhiomwon LGs Follow our Liveblog for more updates gt gt gt ,0
13, Results Uhunmwonde LGA APC 5 972 PDP 10 022 Owan East LGA APC 19 295 PDP 14 762 Owan West LG APC 11 193 PDP 11 485 Esan West LGA APC 7 189 PDP 17 434 Follow our Liveblog for more updates gt gt gt , Results Uhunmwonde LGA APC PDP Owan East LGA APC PDP Owan West LG APC PDP Esan West LGA APC PDP Follow our Liveblog for more updates gt gt gt ,0
14, Results Ovia North East APC 9 907 PDP 16 987 Etsako West LGA APC 26 140 PDP 17 959 Oredo LGA APC 18 365 PDP 43 498 Follow our Liveblog for more updates gt gt gt , Results Ovia North East APC PDP Etsako West LGA APC PDP Oredo LGA APC PDP Follow our Liveblog for more updates gt gt gt ,0
15, LOCAL GOVERNMENT RESULTS Esan South East APC 9237 PDP 10565 Registered voters 73907 Accredited voters 20274 UROMI Esan North LGA results APC 6559 PDP 13 579 Total Valid vote 20369 Accredited voters 20825 , LOCAL GOVERNMENT RESULTS Esan South East APC PDP Registered voters Accredited voters UROMI Esan North LGA results APC PDP Total Valid vote Accredited voters ,0
16, LOCAL GOVERNMENT RESULTS Etsako West LGA results APC 26 140 PDP 17 959 Registered voters 158 899 Accredited voters 48 846 Follow our Liveblog for more updates gt gt gt , LOCAL GOVERNMENT RESULTS Etsako West LGA results APC PDP Registered voters Accredited voters Follow our Liveblog for more updates gt gt gt ,0
17, Results for Etsako West LGA ADP 184 APC 26 140 APGA 17 PDP 17 959 Total valid votes 44 539 Total rejected votes 2 828 Total votes cast 47 367 Follow our Liveblog for more updates gt gt gt , Results for Etsako West LGA ADP APC APGA PDP Total valid votes Total rejected votes Total votes cast Follow our Liveblog for more updates gt gt gt ,0
18, Adams Oshiomhole voting at Polling Unit 001 Ward 10 Iyamho Etsako West LGA Follow our Liveblog for more updates gt gt gt , Adams Oshiomhole voting at Polling Unit Ward Iyamho Etsako West LGA Follow our Liveblog for more updates gt gt gt ,0
19, Adams Oshiomhole on the queue at his polling unit 001 Ward 10 Iyamho Etsako West LGA Follow our Liveblog for more updates gt gt gt , Adams Oshiomhole on the queue at his polling unit Ward Iyamho Etsako West LGA Follow our Liveblog for more updates gt gt gt ,0
20, Violence shootings reported at Poll xc3 xadng Unit 11 Edo Lodge in Oke Ijebu Akure FOLLOW LIVE , Violence shootings reported at Poll xc xadng Unit Edo Lodge in Oke Ijebu Akure FOLLOW LIVE ,1
21, Akeredolu and his wife given undue priority as they jump queue to vote FOLLOW LIVE , Akeredolu and his wife given undue priority as they jump queue to vote FOLLOW LIVE ,0
22, PHOTONEWS wife arrive polling unit to vote FOLLOW LIVE , PHOTONEWS wife arrive polling unit to vote FOLLOW LIVE ,0
23, Heavy rain in Akure as voters observers journalists and INEC officials take cover at polling 9 Ward 4 FOLLOW LIVE , Heavy rain in Akure as voters observers journalists and INEC officials take cover at polling Ward FOLLOW LIVE ,0
24, Candidate of the PDP and his wife Eno Jegede waiting at their PU009 Ward 4 Sacred Heart Primary School to get accredited and cast their votes FOLLOW LIVE , Candidate of the PDP and his wife Eno Jegede waiting at their PU Ward Sacred Heart Primary School to get accredited and cast their votes FOLLOW LIVE ,0
25, PHOTO Elderly given priority to vote at CAC primary school Owo LGA FOLLOW LIVE , PHOTO Elderly given priority to vote at CAC primary school Owo LGA FOLLOW LIVE ,0
26, PHOTONEWS Vote Buying officials monitoring the Ondo governorship election FOLLOW LIVE , PHOTONEWS Vote Buying officials monitoring the Ondo governorship election FOLLOW LIVE ,1
27, PHOTONEWS Accreditation and Voting Have Started at Unit 2 Ward 11 of Akure South LGA FOLLOW LIVE , PHOTONEWS Accreditation and Voting Have Started at Unit Ward of Akure South LGA FOLLOW LIVE ,0
28, Voting begins at unit 002 Igbotako Ward 02 Okitipupa LGA FOLLOW LIVE , Voting begins at unit Igbotako Ward Okitipupa LGA FOLLOW LIVE ,0
29, 8 45am xe2 x80 x94 officials just setting up at Rufus Giwa Polytechnic Owo LGA FOLLOW LIVE , am xe officials just setting up at Rufus Giwa Polytechnic Owo LGA FOLLOW LIVE ,0
30, COVID 19 protocol not adhere to as electorates check their names on the voting register in polling unit 01 Igbotako Ward two Okitipupa LGA FOLLOW LIVE , COVID protocol not adhere to as electorates check their names on the voting register in polling unit Igbotako Ward two Okitipupa LGA FOLLOW LIVE ,0
31, Some electorates already in celebratory mood while anticipating victory for their preferred candidates in the Ondo Saturday election FOLLOW LIVE , Some electorates already in celebratory mood while anticipating victory for their preferred candidates in the Ondo Saturday election FOLLOW LIVE ,0
32, PHOTONEWS Voters troop out at Ogbese Akure North LGA as they await commencement of the election FOLLOW LIVE , PHOTONEWS Voters troop out at Ogbese Akure North LGA as they await commencement of the election FOLLOW LIVE ,0
33, 8am Voters checking their names in preparation for accreditation at Unit 3 Ward 3 of Akure South LGA FOLLOW LIVE , am Voters checking their names in preparation for accreditation at Unit Ward of Akure South LGA FOLLOW LIVE ,0
34, INEC officials preparing to set up at Igbogin Isikan PU 10 FOLLOW LIVE , INEC officials preparing to set up at Igbogin Isikan PU FOLLOW LIVE ,0
35, At 7 50am officials have set up for the day xe2 x80 x99s exercise at PU 015 Ward 2 Okitipupa LGA FOLLOW LIVE , At am officials have set up for the day xe exercise at PU Ward Okitipupa LGA FOLLOW LIVE ,0
36, Electorates checking their names on the voters register at PU 18 Ward 2 Okitipupa LGA FOLLOW LIVE , Electorates checking their names on the voters register at PU Ward Okitipupa LGA FOLLOW LIVE ,0
37, Assistant presiding officer pasting the list while some voters are checking their names out in PU 17 Ward 2 Okitipupa LGA FOLLOW LIVE , Assistant presiding officer pasting the list while some voters are checking their names out in PU Ward Okitipupa LGA FOLLOW LIVE ,0
38, Distribution of election materials ongoing in Registration Area Center RAC inside Stella Marris college Okitipupa to different polling units FOLLOW LIVE , Distribution of election materials ongoing in Registration Area Center RAC inside Stella Marris college Okitipupa to different polling units FOLLOW LIVE ,0
39, The battle is between the incumbent of the All Progressives Congress of the Zenith Labour Party who is also the current deputy and of the Peoples Democratic Party FOLLOW LIVE , The battle is between the incumbent of the All Progressives Congress of the Zenith Labour Party who is also the current deputy and of the Peoples Democratic Party FOLLOW LIVE ,0
40, Welcome to our live coverage of the 2020 Ondo State Governorship election We will be giving you every detail of what is happening in the Sunshine State as it goes down FOLLOW LIVE , Welcome to our live coverage of the Ondo State Governorship election We will be giving you every detail of what is happening in the Sunshine State as it goes down FOLLOW LIVE ,0
41, Ondo Poll Confusion As SDP Candidate Supports Runningmate Backs Sahara Reporters , Ondo Poll Confusion As SDP Candidate Supports Runningmate Backs Sahara Reporters ,0
42, Ondo Poll Expresses Concerns Over Reliance On NURTW Members For Transportation Of Electoral Materials Sahara Reporters , Ondo Poll Expresses Concerns Over Reliance On NURTW Members For Transportation Of Electoral Materials Sahara Reporters ,0
43, We have come to the end of the Live Blog for the Edo governorship election See you in Ondo next month , We have come to the end of the Live Blog for the Edo governorship election See you in Ondo next month ,0
44, Final Result Of The 10th Local Government Area Uhunmwonde Announced PDP 10 022 APC 5 972 FOLLOW LIVE , Final Result Of The th Local Government Area Uhunmwonde Announced PDP APC FOLLOW LIVE ,0
45, BREAKING Results From Seven LGAs Announced Eleven Being Expected Obaseki Has Five Ize Iyamu Two FOLLOW LIVE , BREAKING Results From Seven LGAs Announced Eleven Being Expected Obaseki Has Five Ize Iyamu Two FOLLOW LIVE ,0
46, RESULT OF POLL Polling Unit 005 Makeke By Agbala House Ward 05 Akoko Edo LGA ADC 01 ADP 01 APC 45 NNPP 01 PDP 75 FOLLOW LIVE , RESULT OF POLL Polling Unit Makeke By Agbala House Ward Akoko Edo LGA ADC ADP APC NNPP PDP FOLLOW LIVE ,0
47, Result Of Poll From Oshiomhole Unit Polling Unit 1 Ward 10 Uzairue Northeast Estako West LGA APC 1201 PDP 0 nil ADP 1 Void vote 9 Registered votes 1844 Unused Paper 633 FOLLOW LIVE , Result Of Poll From Oshiomhole Unit Polling Unit Ward Uzairue Northeast Estako West LGA APC PDP nil ADP Void vote Registered votes Unused Paper FOLLOW LIVE ,0
48, RESULT OF POLL Polling Unit 003 Ward 9 Egor Local Government Area ADC 1 ADP 2 APC 59 PDP 125 FOLLOW LIVE , RESULT OF POLL Polling Unit Ward Egor Local Government Area ADC ADP APC PDP FOLLOW LIVE ,0
49, RESULT OF POLL Polling Unit 6 Ward 1 Agenebode Etsako East Reg Voters 1469 Vote Cast 456 VALID 448 APC 284 PDP 150 FOLLOW LIVE , RESULT OF POLL Polling Unit Ward Agenebode Etsako East Reg Voters Vote Cast VALID APC PDP FOLLOW LIVE ,0
50, RESULT OF POLL Polling Unit 002 Ward 07 Esan North East LGA APC 61 NRM 1 PDP 98 SDP 1 FOLLOW LIVE , RESULT OF POLL Polling Unit Ward Esan North East LGA APC NRM PDP SDP FOLLOW LIVE ,0
51, Result of Poll From Raymond Dokpesi Unit Polling Unit 8 Ward 1 Agenebode Etsako East APC 163 SDP 1 ADC 1 PDP 214 Accredited 1114 Vote Cast 395 Void 16 FOLLOW LIVE , Result of Poll From Raymond Dokpesi Unit Polling Unit Ward Agenebode Etsako East APC SDP ADC PDP Accredited Vote Cast Void FOLLOW LIVE ,0
52, RESULT OF POLL Polling Unit 007 Ward 05 Esan North East LGA ADC 1 ADP 1 APC 95 APGA 1 PDP 64 FOLLOW LIVE , RESULT OF POLL Polling Unit Ward Esan North East LGA ADC ADP APC APGA PDP FOLLOW LIVE ,0
53, RESULT OF POLL Polling Unit 003 Ward 04 Esan North East LGA APC 40 PDP 174 ADC 3 SDP 1 FOLLOW LIVE , RESULT OF POLL Polling Unit Ward Esan North East LGA APC PDP ADC SDP FOLLOW LIVE ,0
54, RESULT Owan West Uzebba Community Polling Unit 11 Ward 10 APC 180 PDP 81 ADP 2 NRM 1 FOLLOW LIVE , RESULT Owan West Uzebba Community Polling Unit Ward APC PDP ADP NRM FOLLOW LIVE ,0
55, RESULT OF POLL Polling Unit 005 Ward 04 Esan North East LGA APC 29 NNPP 1 PDP 152 FOLLOW LIVE , RESULT OF POLL Polling Unit Ward Esan North East LGA APC NNPP PDP FOLLOW LIVE ,0
56, RESULT OF POLL Polling Unit 006 Ward 04 Esan North East LGA ADC 1 ADP 1 APC 42 PDP 109 YPP 1 FOLLOW LIVE , RESULT OF POLL Polling Unit Ward Esan North East LGA ADC ADP APC PDP YPP FOLLOW LIVE ,0
57, Voting At Egor Primary School Ward 4 In Egor LGA Both PDP and Apc involved in buying of votes PDP paid each voter N1000 while Apc N3000 Many PDP members lamented their payment was lower than Apc FOLLOW LIVE , Voting At Egor Primary School Ward In Egor LGA Both PDP and Apc involved in buying of votes PDP paid each voter while Apc Many PDP members lamented their payment was lower than Apc FOLLOW LIVE ,0
58, PHOTOS voter Taiwo Michael Eno beaten by thugs for voting for in Ward 6 Ikpoba Okha LGA FOLLOW LIVE , PHOTOS voter Taiwo Michael Eno beaten by thugs for voting for in Ward Ikpoba Okha LGA FOLLOW LIVE ,0
59, Voting Stopped At Egor LGA Due To Non functional Card Readers Sahara Reporters , Voting Stopped At Egor LGA Due To Non functional Card Readers Sahara Reporters ,0
60, VIDEO Agents Share Face Masks To Woo Voters In Polling Unit 2 Ward 7 Egor Local Government Area WATCH FULL VIDEO , VIDEO Agents Share Face Masks To Woo Voters In Polling Unit Ward Egor Local Government Area WATCH FULL VIDEO ,0
61, Follow SaharaReporters Live Coverage Of The 2020 Edo Governorship Election FOLLOW LIVE , Follow SaharaReporters Live Coverage Of The Edo Governorship Election FOLLOW LIVE ,0
62, BREAKING xe2 x80 x99m Disappointed In INEC xe2 x80 x93 GovernorObaseki Sahara Reporters , BREAKING xe Disappointed In INEC xe GovernorObaseki Sahara Reporters ,0
63, BREAKING Thugs Chase Party Agents Of Other Political Parties From Polling Unit The governor who is on the queue watches on as his thugs carry out the acts FOLLOW LIVE , BREAKING Thugs Chase Party Agents Of Other Political Parties From Polling Unit The governor who is on the queue watches on as his thugs carry out the acts FOLLOW LIVE ,0
64, BREAKING Violence erupts at Obaseki xe2 x80 x99s polling unit FOLLOW LIVE , BREAKING Violence erupts at Obaseki xe polling unit FOLLOW LIVE ,1
65, INFOGRAPHICS delay was recorded on the part of INEC to commence the election FOLLOW LIVE , INFOGRAPHICS delay was recorded on the part of INEC to commence the election FOLLOW LIVE ,0
66, APC Candidate Ize Iyamu Votes APC governorship candidate Osagie Ize Iyamu casts his vote at his polling unit 026 Ward 5 Iguododo LGA FOLLOW LIVE , APC Candidate Ize Iyamu Votes APC governorship candidate Osagie Ize Iyamu casts his vote at his polling unit Ward Iguododo LGA FOLLOW LIVE ,0
67, Massive Turnout As Election Begins Edo residents are trooping out to exercise their franchise in the Governorship Election Over 200 voters are already at Ward 12 Fire Service Benin to partake in the election FOLLOW LIVE , Massive Turnout As Election Begins Edo residents are trooping out to exercise their franchise in the Governorship Election Over voters are already at Ward Fire Service Benin to partake in the election FOLLOW LIVE ,0
68, OBASEKI POLLING UNIT officials setting up Okemole 1 Emokpae Primary School 1 Ward 4 Oredo LGA where will cast his vote later today FOLLOW LIVE , OBASEKI POLLING UNIT officials setting up Okemole Emokpae Primary School Ward Oredo LGA where will cast his vote later today FOLLOW LIVE ,0
69, NON ADHERENCE INEC officials and residents at Polling Unit 01 Ward 12 Oredo local government flout COVID 19 safety guidelines FOLLOW LIVE , NON ADHERENCE INEC officials and residents at Polling Unit Ward Oredo local government flout COVID safety guidelines FOLLOW LIVE ,0
70, LIVE Edo Decides 2020 Sahara Reporters Welcome to our live coverage of the 2020 Edo Governorship election FOLLOW LIVE , LIVE Edo Decides Sahara Reporters Welcome to our live coverage of the Edo Governorship election FOLLOW LIVE ,0
71, Why Police Officers Perpetrate Supervise Violence During Election WATCH FULL VIDEO , Why Police Officers Perpetrate Supervise Violence During Election WATCH FULL VIDEO ,1
72, Vote Buying Politicians Are Making Voters To Take An Oath To Vote For Them WATCH FULL VIDEO , Vote Buying Politicians Are Making Voters To Take An Oath To Vote For Them WATCH FULL VIDEO ,1
73, We Are Concerned Edo Election Will Not Be Determined By Voters But By Strong Arms Tactics WATCH FULL VIDEO , We Are Concerned Edo Election Will Not Be Determined By Voters But By Strong Arms Tactics WATCH FULL VIDEO ,0
74, BE CITIZEN JOURNALIST Notice any electoral malpractice Send us videos pictures TWITTER FACEBOOK Sahara Reporters EMAIL saharareporterstv gmail com , BE CITIZEN JOURNALIST Notice any electoral malpractice Send us videos pictures TWITTER FACEBOOK Sahara Reporters EMAIL saharareporterstv gmail com ,0
75, Join us today as we discuss Matters Arising on the Edo 2020 Governorship Election Time Wednesday 5 7pm WAT Streaming Live On Sahara Reporters , Join us today as we discuss Matters Arising on the Edo Governorship Election Time Wednesday pm WAT Streaming Live On Sahara Reporters ,0
76, Final Results From All LGAs Accredited VOTERS 557443 APC 223619 PDP 307955 Obaseki wins with difference of 84 336 votes FOLLOW LIVE , Final Results From All LGAs Accredited VOTERS APC PDP Obaseki wins with difference of votes FOLLOW LIVE ,0
77, Final Result Of Last Local Government Area Ovia South West Announced APC 10 636 PDP 12 659 Total valid votes 23 741 Rejected votes 743 Total votes cast 24 484 FOLLOW LIVE , Final Result Of Last Local Government Area Ovia South West Announced APC PDP Total valid votes Rejected votes Total votes cast FOLLOW LIVE ,0
78, INEC officers confirming the claim by the agent on the sudden disappearance of Orhionmwon LGA Collation Officer after arriving at headquarters Benin with the election result , INEC officers confirming the claim by the agent on the sudden disappearance of Orhionmwon LGA Collation Officer after arriving at headquarters Benin with the election result ,0
79, INEC officers confirming the claim by the agent on the sudden disappearance of Orhionmwon LGA Collation Officer after arriving at headquarters Benin with election result , INEC officers confirming the claim by the agent on the sudden disappearance of Orhionmwon LGA Collation Officer after arriving at headquarters Benin with election result ,0
80, inecnigeria officials go on two hours break as results from the remaining two LGAs are being expected Results from Ovia South West and Orhionmwon LGAs are to be announced after the break FOLLOW LIVE , inecnigeria officials go on two hours break as results from the remaining two LGAs are being expected Results from Ovia South West and Orhionmwon LGAs are to be announced after the break FOLLOW LIVE ,0
81, After the announcement of election results from 16 LGAs Obaseki leads Ize Iyamu with 79 326 votes FOLLOW LIVE , After the announcement of election results from LGAs Obaseki leads Ize Iyamu with votes FOLLOW LIVE ,0
82, PDP party agent raises the alarm over the sudden disappearance of the INEC Collation Officer of Orhionmwon LGA An agent of the APC however countered him accusing the PDP of altering election results FOLLOW LIVE , PDP party agent raises the alarm over the sudden disappearance of the INEC Collation Officer of Orhionmwon LGA An agent of the APC however countered him accusing the PDP of altering election results FOLLOW LIVE ,0
83, WATCH LIVE Announcement Of Edo Governorship Election Results By INEC Sahara Reporters , WATCH LIVE Announcement Of Edo Governorship Election Results By INEC Sahara Reporters ,0
84, Why Refused To Sign Election Result Sheet Declaring Obaseki Winner xe2 x80 x94 Agent WATCH FULL VIDEO , Why Refused To Sign Election Result Sheet Declaring Obaseki Winner xe Agent WATCH FULL VIDEO ,0
85, How Edo Citizens Re elected As Governor WATCH FULL VIDEO , How Edo Citizens Re elected As Governor WATCH FULL VIDEO ,0
86, Announcement Of Election Result By INEC WATCH FULL VIDEO , Announcement Of Election Result By INEC WATCH FULL VIDEO ,0
87, BREAKING INEC Officially Announces Obaseki As Winner Of Edo Governorship The Returning Officer announced Obaseki the winner after polling total of 307 955 votes ahead of major opponent Osagie Ize Iyamu FOLLOW LIVE , BREAKING INEC Officially Announces Obaseki As Winner Of Edo Governorship The Returning Officer announced Obaseki the winner after polling total of votes ahead of major opponent Osagie Ize Iyamu FOLLOW LIVE ,0
88, inecnigeria Must Ensure People With Disability Are Not Excluded From Voting Disability Inclusion Expert WATCH FULL VIDEO , inecnigeria Must Ensure People With Disability Are Not Excluded From Voting Disability Inclusion Expert WATCH FULL VIDEO ,1
89, There are no words to describe the vicious cycle of corruption in Nigeria xe2 x80 x99s public service xf0 x9f x98 xa2 xe2 x81 xa3 xe2 x81 xa3 xe2 x81 xa3 , There are no words to describe the vicious cycle of corruption in Nigeria xe public service xf xa xe xa xe xa xe xa ,1
