ID,tweet_text
1,"b'Amid the growing rift between #NDA allies Chirag Pawan-led #LJP and Nitish Kumar-led #JDU, #BJP chief JP Nadda said the upcoming #Bihar assembly #election will be fought under the leadership of #NitishKumar. (@sujjha, @AishPaliwal)  https://t.co/abnNGjE32S'"
2,"b'Official results of the Edo state governorship election   Ovia South-West (as announced by INEC)   APC - 10,636 PDP - 12,659  #EdoDecides2020  #EdoElection  #CTVLiveTweets'"
3,"b'Official results of the Edo state governorship election   Orhionmwon (as announced by INEC)   APC - 10,458 PDP - 13,445  #EdoDecides2020  #EdoElection  #CTVLiveTweets'"
4,"b'HAPPENING NOW: After about five hours of announcements and breaks, the final results of the Edo election are almost complete.  Follow live updates here: https://t.co/veQC5wEWN7  \xf0\x9f\x93\xb7: Sodiq Adelakun/Channels Television  #EdoDecides2020  #EdoElection  #CTVLiveTweets https://t.co/zKMEX6FUid'"
5,b'The collation committee is now on break.  Two local government results - Orhionmwon and Ovia South-West - are yet to be announced.  #EdoDecides2020  #EdoElection  #CTVLiveTweets'
6,"b'Official results of the Edo state governorship election   Etsako Central (as announced by INEC)   APC - 8,359 PDP - 7,478  #EdoDecides2020  #EdoElection  #CTVLiveTweets'"
7,b'The remaining results from the Edo election are still being ferried into the central collation centre.  \xf0\x9f\x93\xb7: Sodiq Adelakun  #EdoDecides2020  #EdoElection  #CTVLiveTweets https://t.co/015v8oHuLH'
8,"b'Official results of the Edo state governorship election   Etsako East (as announced by INEC)  APC :17,011 PDP: 10,668  #EdoDecides2020  #EdoElection  #CTVLiveTweets'"
9,"b'Official results of the Edo state governorship election   Akoko Edo (as announced by INEC)  APC 22,963 PDP 20,101  #EdoDecides2020  #EdoElection  #CTVLiveTweets'"
10,"b""HAPPENING NOW: INEC's Collation Committee is about to resume the announcement of results. Party agents are also present at the meeting.  Follow live updates here: https://t.co/Z6q7HxrVJ3  #EdoDecides2020  #EdoElection  #CTVLiveTweets https://t.co/bOS8SKgUnB"""
11,"b'Official results of the Edo state governorship election   Esan West (as announced by INEC)  APC - 7,189 PDP - 17,434  #EdoDecides2020  #EdoElection  #CTVLiveTweets'"
12,"b'Official results of the Edo state governorship election   Oredo (as announced by INEC)  APC - 18,365 PDP - 43,498  #EdoDecides2020  #EdoElection  #CTVLiveTweets'"
13,"b'Official results of the Edo state governorship election   Esan South-East (as announced by INEC)  APC - 9,237 PDP - 10,563  #EdoDecides2020  #EdoElection  #CTVLiveTweets'"
14,"b'Official results of the Edo state governorship election   Etsako West (as announced by INEC)  APC - 26,140 PDP - 17,959  #EdoDecides2020  #EdoElection  #CTVLiveTweets'"
15,"b'Official results of the Edo state governorship election   Ovia North-East (as announced by INEC)  APC - 9,907 PDP - 16,987  #EdoDecides2020  #EdoElection  #CTVLiveTweets'"
16,"b'Official results of the Edo state governorship election   Owan West (as announced by INEC)  APC - 11,193 PDP - 11,485  #EdoDecides2020  #EdoElection  #CTVLiveTweets'"
17,"b'Official results of the Edo state governorship election   Owan East (as announced by INEC)  APC - 19,295 PDP - 14,762  #EdoDecides2020  #EdoElection  #CTVLiveTweets'"
18,"b'Official results of the Edo state governorship election   Egor (as announced by INEC)  APC - 10,202 PDP - 27,621  #EdoDecides2020  #EdoElection  #CTVLiveTweets'"
19,"b'Official results of the Edo state governorship election   Uhunmwonde (as announced by INEC)  APC - 5,972 PDP - 10,022  #EdoDecides2020  #EdoElection  #CTVLiveTweets'"
20,"b'Official results of the Edo state governorship election   Ikpoba Okha (as announced by INEC)  APC - 18,218 PDP - 41,030  #EdoDecides2020  #EdoElection  #CTVLiveTweets'"
21,"b'Official results of the Edo state governorship election   Esan Central (as announced by INEC)  APC - 6,719 PDP - 10,694  #EdoDecides2020  #EdoElection  #CTVLiveTweets'"
22,"b'Official results of the Edo state governorship election   Esan North-East (as announced by INEC)  APC - 6,556 PDP - 13,579  #EdoDecides2020  #EdoElection  #CTVLiveTweets'"
23,b'Official results of the Edo state governorship election   Igueben LG (as announced by INEC)  APC - 5199 PDP - 7870  #EdoDecides2020  #EdoElection  #CTVLiveTweets'
24,"b""HAPPENING NOW: INEC's Collation Committee is set to announce the official results of the election from all local governments. Party agents are also present at the meeting.  Follow live updates here: https://t.co/k1UrTwMm7Z  #EdoDecides2020  #EdoElection  #CTVLiveTweets"""
25,"b'Godwin Obaseki secured 307,955 of the total votes, 84,336 more votes than his closest rival Ize-Iyamu, who got 223, 619 votes.  A total of 14 political parties fielded candidates to jostle for the office of the governor in the state.  #EdoDecides2020  #EdoElection  #CTVLiveTweets https://t.co/Cix64l5LnL'"
26,"b'#EdoDecides2020 Update: The Returning Officer for the Edo State governorship election, Prof. Akpofure Rim-Ruke said the results of 13 out 18 local government areas would be moved to Form EC8D, pending the arrival of the results from the remaining LGs.  #EdoElection #Edo2020'"
27,"b""Edo election: Governor Godwin Obaseki at PDP's situation room  Follow our Liveblog for more updates&gt;&gt;&gt;https://t.co/5YhnMUCDM6  #EdoDecides2020 #EdoElection #Edo2020 https://t.co/hdDzdOtNXW"""
28,"b'#EdoElection RESULT  Uwalor, Esan North East LGA  APC - 415 PDP - 897  #EdoDecides2020 #Edo2020  Follow our Liveblog for more updates &gt;&gt;&gt; https://t.co/5YhnMUUfaG'"
29,"b""PHOTOS: Obaseki's supporter falls from speeding vehicle  Follow our Liveblog for more updates &gt;&gt;&gt; https://t.co/5YhnMUUfaG #EdoDecides #EdoDecides2020 #Edo2020 https://t.co/TYPKwE9qoY"""
